#TAXONOMY,Kingdom,Phylum,Class,Order,Family,Genus
OTU1491,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium
OTU2321,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium
OTU25,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Alatospora
OTU837,Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,Lobulomycetaceae,Alogomyces
OTU966,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
OTU2155,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora
OTU2219,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Anguillospora
OTU2114,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Amorosiaceae,Angustimassarina
OTU868,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccheriunidentifiedceae,Antrodiella
OTU2399,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum
OTU1138,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Arachnopeziza
OTU1188,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Arachnopeziza
OTU814,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Arachnopeziza
OTU1122,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU1125,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2320,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2325,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2326,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2329,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2332,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2337,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2339,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2346,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2351,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2354,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2355,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2356,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2367,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2374,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2375,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2376,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2378,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2381,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2383,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2390,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2422,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2427,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2428,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2430,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2431,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2466,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU2479,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces
OTU792,Fungi,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Arthrinium
OTU898,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys
OTU1372,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Articulospora
OTU1007,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
OTU1111,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
OTU968,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
OTU1539,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Bensingtonia
OTU1551,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Alphamycetaceae,Betamyces
OTU1659,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Alphamycetaceae,Betamyces
OTU980,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Bjerkandera
OTU1998,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomounidentifiedscaceae,Blastobotrys
OTU1968,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Terramycetaceae,Boothiomyces
OTU2401,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Bullera
OTU2519,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Bullera
OTU1143,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Thermoascaceae,Byssochlamys
OTU578,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Cadophora
OTU1075,Fungi,Calcarisporiellomycota,Calcarisporiellomycetes,Calcarisporiellales,Calcarisporiellaceae,Calcarisporiella
OTU565,Fungi,Calcarisporiellomycota,Calcarisporiellomycetes,Calcarisporiellales,Calcarisporiellaceae,Calcarisporiella
OTU874,Fungi,Calcarisporiellomycota,Calcarisporiellomycetes,Calcarisporiellales,Calcarisporiellaceae,Calcarisporiella
OTU2179,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Calonectria
OTU292,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Calvatia
OTU1649,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Calyptrozyma
