#NAME,SA10,SA11,SA12,SA1,SA2,SA3,SA4,SA5,SA6,SA7,SA8,SA9,SB10,SB11,SB12,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SC10,SC12,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SD10,SD11,SD12,SD1,SD2,SD3,SD4,SD5,SD7,SD8,SD9,SE10,SE1,SE2,SE3,SE4,SE6,SE7,SE8,SE9,SF11,SF12,SF1,SF2,SF3,SF4,SF5,SF7,SF8,SG1,SG2,SG3,SG4,SC11,SE11
OTU1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
OTU1523,0,0,0,0,0,16,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,29,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,165,1,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0
OTU1558,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
OTU234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,41,0,0,0
OTU1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
OTU1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
OTU581,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,25,3,0,0,3,1,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0
OTU617,5,33,0,0,4,3,29,0,9,0,0,65,8,0,0,0,7,11,2,1,0,15,0,8,0,0,12,0,0,4,0,1,0,6,4,3,2,4,53,24,0,7,0,3,1,0,0,7,4,427,134,9,15,1,34,16,7,3,0,35,2,44,2,0,1,0,22,0,0,0
